country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.332,9240934,820.8530296
Bahrain,Asia,1952,50.939,120447,9867.084765
Bahrain,Asia,1957,53.832,138655,11635.79945
Bangladesh,Asia,1952,37.484,46886859,684.2441716
Bangladesh,Asia,1957,39.348,51365468,661.6374577
Cambodia,Asia,1952,39.417,4693836,368.4692856
Cambodia,Asia,1957,41.366,5322536,434.0383364
China,Asia,1952,44,556263527,400.448611
China,Asia,1957,50.54896,637408000,575.9870009
"Hong Kong, China",Asia,1952,60.96,2125900,3054.421209
"Hong Kong, China",Asia,1957,64.75,2736300,3629.076457
India,Asia,1952,37.373,372000000,546.5657493
India,Asia,1957,40.249,409000000,590.061996
Indonesia,Asia,1952,37.468,82052000,749.6816546
Indonesia,Asia,1957,39.918,90124000,858.9002707
Iran,Asia,1952,44.869,17272000,3035.326002
Iran,Asia,1957,47.181,19792000,3290.257643
Iraq,Asia,1952,45.32,5441766,4129.766056
Iraq,Asia,1957,48.437,6248643,6229.333562
Israel,Asia,1952,65.39,1620914,4086.522128
Israel,Asia,1957,67.84,1944401,5385.278451
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1957,65.5,91563009,4317.694365
Jordan,Asia,1952,43.158,607914,1546.907807
Jordan,Asia,1957,45.669,746559,1886.080591
"Korea, Dem. Rep.",Asia,1952,50.056,8865488,1088.277758
"Korea, Dem. Rep.",Asia,1957,54.081,9411381,1571.134655
"Korea, Rep.",Asia,1952,47.453,20947571,1030.592226
"Korea, Rep.",Asia,1957,52.681,22611552,1487.593537
Kuwait,Asia,1952,55.565,160000,108382.3529
Kuwait,Asia,1957,58.033,212846,113523.1329
Lebanon,Asia,1952,55.928,1439529,4834.804067
Lebanon,Asia,1957,59.489,1647412,6089.786934
Malaysia,Asia,1952,48.463,6748378,1831.132894
Malaysia,Asia,1957,52.102,7739235,1810.066992
Mongolia,Asia,1952,42.244,800663,786.5668575
Mongolia,Asia,1957,45.248,882134,912.6626085
Myanmar,Asia,1952,36.319,20092996,331
Myanmar,Asia,1957,41.905,21731844,350
Nepal,Asia,1952,36.157,9182536,545.8657229
Nepal,Asia,1957,37.686,9682338,597.9363558
Oman,Asia,1952,37.578,507833,1828.230307
Oman,Asia,1957,40.08,561977,2242.746551
Pakistan,Asia,1952,43.436,41346560,684.5971438
Pakistan,Asia,1957,45.557,46679944,747.0835292
Philippines,Asia,1952,47.752,22438691,1272.880995
Philippines,Asia,1957,51.334,26072194,1547.944844
Saudi Arabia,Asia,1952,39.875,4005677,6459.554823
Saudi Arabia,Asia,1957,42.868,4419650,8157.591248
Singapore,Asia,1952,60.396,1127000,2315.138227
Singapore,Asia,1957,63.179,1445929,2843.104409
Sri Lanka,Asia,1952,57.593,7982342,1083.53203
Sri Lanka,Asia,1957,61.456,9128546,1072.546602
Syria,Asia,1952,45.883,3661549,1643.485354
Syria,Asia,1957,48.284,4149908,2117.234893
Taiwan,Asia,1952,58.5,8550362,1206.947913
Taiwan,Asia,1957,62.4,10164215,1507.86129
Thailand,Asia,1952,50.848,21289402,757.7974177
Thailand,Asia,1957,53.63,25041917,793.5774148
Vietnam,Asia,1952,40.412,26246839,605.0664917
Vietnam,Asia,1957,42.887,28998543,676.2854478
West Bank and Gaza,Asia,1952,43.16,1030585,1515.592329
West Bank and Gaza,Asia,1957,45.671,1070439,1827.067742
"Yemen, Rep.",Asia,1952,32.548,4963829,781.7175761
"Yemen, Rep.",Asia,1957,33.97,5498090,804.8304547
